,javascript,java,c#,python,php,android,jquery,html,c++,css,ios,mysql,sql,asp.net,r,c,arrays,ruby-on-rails,node.js,.net,objective-c,json,sql-server,angularjs,swift
2015-02-01,57740,53053,36726,30923,41492,38025,30928,29250,19180,20379,23942,17456,13829,8723,8151,10116,11920,9347,8007,5676,9712,9147,7882,13818,10430
2015-05-01,66109,52408,39443,33033,42387,39519,33292,31854,18573,22155,25574,17757,13947,9196,9083,8683,11097,10253,9569,6045,9456,10207,8158,16660,12810
2015-08-01,62829,49503,37402,32231,39669,38271,30946,29791,17278,20970,26059,16449,12852,8314,8684,8257,10707,9392,9668,6046,8563,9625,7672,16560,13499
2015-11-01,62106,47872,35352,33961,39654,36315,28396,28743,18120,19446,22612,16429,12757,7571,8513,8636,11611,8653,10167,5277,6829,9708,7470,16107,13042
2016-02-01,67091,53844,38313,38227,42162,41162,29577,30931,18679,20683,22594,17856,14361,8232,9767,8885,12555,9285,11445,5695,6738,11028,8193,17212,14085
2016-05-01,64508,45785,36916,36650,38892,39082,27357,29813,15980,19995,20992,15991,13809,7761,9709,6556,10451,8350,11552,5501,5887,10532,8292,16612,13734
2016-08-01,60967,42838,33835,36309,35314,34998,25233,28174,14754,19339,20727,14600,13022,7008,9304,6946,10490,7364,11397,5019,5054,9930,8148,14145,14153
2016-11-01,59009,41964,32579,39117,34234,32719,23935,27336,15505,18427,18058,14045,12898,6435,8783,7784,11208,6618,11347,4727,4450,9818,7825,11952,12284
2017-02-01,63119,45123,33928,44725,37085,34160,24916,29718,15762,19838,17192,16045,14037,6653,10509,7467,11734,6228,12394,4922,3831,10648,8458,10984,12105
2017-05-01,62670,43160,32982,46185,34823,32608,23618,28486,13790,18975,17333,14740,14258,6523,11433,6201,10729,5778,13045,4878,3439,10709,8110,9067,12201
2017-08-01,57573,38612,29777,46050,31516,29718,20670,25346,13287,17405,15858,13520,13006,5521,11326,6006,10132,5023,12433,4369,2698,9573,7940,6826,11481
2017-11-01,52663,36617,26688,45633,28463,28125,17795,22880,13108,15793,13765,12274,12286,4908,10731,6525,10329,4435,12354,3908,2088,9284,7231,5095,10331
2018-02-01,51389,36997,26434,48648,26438,27032,15122,21886,13005,14548,12268,11755,13248,4225,12347,5882,9005,4230,12168,4131,1717,8213,7007,3821,10686
2018-05-01,50160,35439,26908,49757,25012,26441,13386,21240,11727,14079,11290,11085,13464,4097,11769,5105,8065,3847,12226,4248,1525,7961,6960,3096,10137
2018-08-01,48708,33215,26000,49342,23277,25020,12463,19829,10831,13468,10701,9814,12417,3851,10526,5135,8323,3459,12191,4055,1270,7536,6805,2353,9713
2018-11-01,47664,34569,25352,51518,21501,24507,11166,18884,11208,12474,9922,10012,11828,3588,10570,6240,8225,3558,12844,3931,1052,7249,6405,2231,9030
2019-02-01,52460,37362,28208,60454,23951,25979,11696,21199,12073,13811,9962,11007,13379,4055,12779,6048,8506,3543,14569,4198,1108,8180,6974,2075,9345
2019-05-01,50576,35129,26987,60214,21380,25872,10632,21396,11768,13241,9725,9371,12019,3675,11991,5124,7788,3122,14742,3793,948,7962,6259,1609,10121
2019-08-01,49741,33199,25931,59441,19111,24167,9655,20311,11435,13089,9534,8978,12142,3280,11653,5431,7891,3119,13978,3775,957,7386,6235,1231,8916
